date,day,time,stadium,home,away,cancelled,reason,note,stadium_id
2023-04-04,화,18:30,잠실,1두산,NC0,False,정상진행,-,
2023-04-05,수,18:30,잠실,3두산,NC9,False,정상진행,-,
2023-04-06,목,18:30,잠실,6두산,NC2,False,정상진행,-,
2023-04-11,화,18:30,잠실,6두산,키움4,False,정상진행,-,
2023-04-12,수,18:30,잠실,두산,키움,True,기타취소,미세먼지취소,
2023-04-13,목,18:30,잠실,2두산,키움9,False,정상진행,-,
2023-04-14,금,18:30,잠실,13LG,두산4,False,정상진행,-,
2023-04-15,토,17:00,잠실,3LG,두산1,False,정상진행,-,
2023-04-16,일,14:00,잠실,5LG,두산10,False,정상진행,-,
2023-04-25,화,18:30,잠실,5LG,SSG4,False,정상진행,-,
2023-04-26,수,18:30,잠실,3LG,SSG5,False,정상진행,-,
2023-04-27,목,18:30,잠실,6LG,SSG3,False,정상진행,-,
2023-05-02,화,18:30,잠실,3두산,한화0,False,정상진행,-,
2023-05-03,수,18:30,잠실,3두산,한화8,False,정상진행,-,
2023-05-04,목,18:30,잠실,3두산,한화10,False,정상진행,-,
2023-05-06,토,14:00,잠실,두산,LG,True,우천취소,우천취소,
2023-05-12,금,18:30,잠실,6두산,KIA1,False,정상진행,-,
2023-05-13,토,17:00,잠실,5두산,KIA1,False,정상진행,-,
2023-05-14,일,14:00,잠실,8두산,KIA4,False,정상진행,-,
2023-05-19,금,18:30,잠실,3LG,한화1,False,정상진행,-,
2023-05-20,토,17:00,잠실,1LG,한화1,False,정상진행,-,
2023-05-21,일,14:00,잠실,4LG,한화1,False,정상진행,-,
2023-05-26,금,18:30,잠실,3두산,SSG14,False,정상진행,-,
2023-05-27,토,14:00,잠실,두산,SSG,True,우천취소,우천취소,
2023-05-28,일,14:00,잠실,두산,SSG,True,우천취소,우천취소,
2023-06-06,화,14:00,잠실,4두산,한화1,False,정상진행,-,
2023-06-07,수,18:30,잠실,6두산,한화3,False,정상진행,-,
2023-06-08,목,18:30,잠실,2두산,한화1,False,정상진행,-,
2023-06-13,화,18:30,잠실,2LG,삼성1,False,정상진행,-,
2023-06-14,수,18:30,잠실,3LG,삼성2,False,정상진행,-,
2023-06-15,목,18:30,잠실,9LG,삼성3,False,정상진행,-,
2023-06-23,금,18:30,잠실,1LG,롯데2,False,정상진행,-,
2023-06-24,토,17:00,잠실,9LG,롯데1,False,정상진행,-,
2023-06-30,금,18:30,잠실,5LG,KIA4,False,정상진행,-,
2023-07-01,토,18:00,잠실,3LG,KIA5,False,정상진행,-,
2023-07-11,화,18:30,잠실,LG,한화,True,우천취소,우천취소,
2023-07-12,수,18:30,잠실,1LG,한화2,False,정상진행,-,
2023-07-13,목,18:30,잠실,LG,한화,True,우천취소,우천취소,
2023-07-25,화,18:30,잠실,8두산,롯데5,False,정상진행,-,
2023-07-26,수,18:30,잠실,2두산,롯데7,False,정상진행,-,
2023-07-27,목,18:30,잠실,1두산,롯데9,False,정상진행,-,
2023-07-28,금,18:30,잠실,2두산,LG9,False,정상진행,-,
2023-07-29,토,18:00,잠실,6두산,LG7,False,정상진행,-,
2023-08-04,금,18:30,잠실,3두산,KT4,False,정상진행,-,
2023-08-05,토,18:00,잠실,7두산,KT4,False,정상진행,-,
2023-08-06,일,17:00,잠실,1두산,KT3,False,정상진행,-,
2023-08-08,화,18:30,잠실,5두산,삼성3,False,정상진행,-,
2023-08-09,수,18:30,잠실,4두산,삼성6,False,정상진행,-,
2023-08-10,목,18:30,잠실,두산,삼성,True,우천취소,우천취소,
2023-08-15,화,17:00,잠실,0두산,KT1,False,정상진행,-,
2023-08-16,수,18:30,잠실,2두산,KT5,False,정상진행,-,
2023-08-17,목,18:30,잠실,8두산,KT9,False,정상진행,-,
2023-08-25,금,18:30,잠실,10두산,SSG1,False,정상진행,-,
2023-08-26,토,18:00,잠실,5두산,SSG7,False,정상진행,-,
2023-08-27,일,17:00,잠실,5두산,SSG8,False,정상진행,-,
2023-09-01,금,18:30,잠실,10LG,한화0,False,정상진행,-,
